Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_Bin,Health_GDP_Impact,CO2_per_Energy,Dependency_Ratio
0.02,41.0,11.384319067480007,26.0,10.203555107263542,24.726774608568434,0.035,4.110873864173311,239.0,0.034,0.0,0.1,71.0,67.0,0.0,1,0.342,0.619,0.039,17.272440615362438,0.599,18.440483381052466,19.078200752050506,Upper-Middle,0.8654371112998953,1.016134517881674,0.6155088852988692
0.05,41.0,9.163563180417254,26.0,8.922658299524402,22.934787151598087,0.034,3.1354942159291497,239.0,0.1075,0.0,0.22649999999999998,47.0,44.0,0.0,1,0.476,0.499,0.025,16.44919138864865,0.324,17.341871111992198,18.799117186521926,Lower-Middle,0.779782763154335,0.923498814914998,1.0040080160320641
0.043,41.0,7.388946097618437,26.0,7.592870287844818,21.58155548172534,0.043,2.772588722239781,239.0,0.09,0.0,0.12,57.0,53.0,0.0,1,0.454,0.517,0.029,15.754161134256329,0.383,18.15931599280497,17.72753358339242,Low,0.9280068857141894,0.8598926610204496,0.9342359767891684
0.027,41.0,8.361007108226909,26.0,7.515889085215125,22.479106487735386,0.047,5.030437921392435,239.0,0.054,0.0,0.155,52.0,49.0,0.1,1,0.383,0.587,0.029,14.378193636949163,0.532,19.240460579850964,19.157844814713773,Lower-Middle,1.0565180049235632,0.9818125887457699,0.7018739352640546
0.046,41.0,6.948897222313312,26.0,9.57073837671504,21.68298347736439,0.051,2.5649493574615367,239.0,0.096,0.0,0.12,52.0,49.0,0.0,1,0.468,0.505,0.028,16.26720033542329,0.178,16.951004817371683,17.216707972959764,Low,1.1058321573455838,0.6573710345173399,0.9821782178217823
0.042,41.0,5.71042701737487,26.0,9.57073837671504,20.584562311300598,0.063,2.0794415416798357,239.0,0.092,0.0,0.158,49.0,47.0,0.0,1,0.49,0.481,0.029,15.7137729400659,0.082,14.151983508870947,16.454567959008102,Low,1.2968274256119376,0.5402107983254657,1.0790020790020791
0.041,41.0,8.141189793457691,26.0,8.75004942158424,22.951920987938426,0.044,3.295836866004329,239.0,0.093,0.0,0.22,53.0,51.0,0.0,1,0.453,0.513,0.034,16.583571168763857,0.455,18.6983124881264,19.300307495604308,Lower-Middle,1.0098845234692906,0.8349895925076108,0.949317738791423
0.039,41.0,5.594711379601839,26.0,9.57073837671504,20.633888389928533,0.043,2.4849066497880004,239.0,0.1075,0.0,0.22,45.0,42.0,0.0,1,0.423,0.537,0.04,15.107031770052997,0.376,15.424948670398354,17.312018149733785,Low,0.8872572007669268,0.5292640097805968,0.8621973929236498
0.051,41.0,5.176149732573829,26.0,9.57073837671504,21.049008006749364,0.063,2.3978952727983707,239.0,0.106,0.0,0.22,48.0,46.0,0.0,1,0.49,0.482,0.028,15.93190485831639,0.216,16.454567959008102,17.840862266556567,Low,1.32608750442521,0.48966775527958606,1.074688796680498
0.039,41.0,4.442651256490317,26.0,9.57073837671504,19.123282513693997,0.035,2.6390573296152584,239.0,0.073,0.0,0.12,59.0,56.0,0.5,1,0.415,0.554,0.031,13.177444190080394,0.281,16.52356082573315,19.93800336967164,Low,0.66931488797929,0.420278233947827,0.8050541516245486
0.048,41.0,7.4067107301776405,26.0,9.721965675912738,23.672328128221075,0.048,2.70805020110221,239.0,0.1075,0.0,0.12,48.0,45.0,0.0,1,0.464,0.507,0.028,17.66457768255208,0.351,20.350025877585416,19.93800336967164,Upper-Middle,1.1362717501546116,0.6907978400655646,0.970414201183432
0.039,41.0,6.956545443151569,26.0,6.703188113240863,21.89261945295018,0.021,3.1354942159291497,239.0,0.077,0.0,0.22,53.0,51.0,0.0,1,0.419,0.545,0.036,14.955330366828065,0.587,16.333207111220425,17.893048018819147,Low,0.45974500851195377,0.9030735509618538,0.8348623853211008
0.038,41.0,8.823500727991183,26.0,8.815073088844464,23.06671074192162,0.065,3.7612001156935624,239.0,0.1,0.0,0.12,47.0,46.0,0.0,1,0.421,0.55,0.029,16.596274087728347,0.435,17.78580249038432,19.488833828572194,Lower-Middle,1.4993361982249054,0.898974531123943,0.8181818181818181
0.03,41.0,6.0014148779611505,26.0,9.57073837671504,20.12766426847647,0.058,3.8066624897703196,239.0,0.08,0.0,0.12,59.0,55.0,0.0,1,0.414,0.556,0.03,13.491009579044274,0.765,15.90737474309945,16.51013780630191,Low,1.1674045275716352,0.5677384742754507,0.7985611510791365
0.025,41.0,11.858831633221174,26.0,10.612975492684125,25.32682012805931,0.054,4.382026634673881,239.0,0.036,0.0,0.132,71.0,66.0,0.0,1,0.354,0.592,0.053,18.00723272200633,0.428,22.261637301161382,20.910574936080593,High,1.3676482869152027,1.0211708136895605,0.6875
0.04,41.0,6.1224928095143865,26.0,9.57073837671504,20.768237802014546,0.024,4.060443010546419,239.0,0.099,0.0,0.22,49.0,46.0,0.0,1,0.426,0.537,0.037,13.158077951228323,0.388,15.424948670398354,16.759949589762293,Low,0.4984377072483491,0.5791925399460137,0.8621973929236498
